index,movie_name,document
762,This Is England,"This Is England A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit. Shane Meadows Thomas Turgoose Stephen Graham Jo Hartley Andrew Shim nan 2006"
763,Ex Machina,Ex Machina A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I. Alex Garland Alicia Vikander Domhnall Gleeson Oscar Isaac Sonoya Mizuno UA 2014
764,Efter brylluppet,"Efter brylluppet A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret. Susanne Bier Mads Mikkelsen Sidse Babett Knudsen Rolf Lassgård Neeral Mulchandani R 2006"
765,The Last King of Scotland,The Last King of Scotland Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s. Kevin Macdonald James McAvoy Forest Whitaker Gillian Anderson Kerry Washington R 2006
766,Zodiac,"Zodiac In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree. David Fincher Jake Gyllenhaal Robert Downey Jr. Mark Ruffalo Anthony Edwards UA 2007"
767,Lucky Number Slevin,"Lucky Number Slevin A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him. Paul McGuigan Josh Hartnett Ben Kingsley Morgan Freeman Lucy Liu R 2006"
768,Joyeux Noël,"Joyeux Noël In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life. Christian Carion Diane Kruger Benno Fürmann Guillaume Canet Natalie Dessay PG-13 2005"
769,Control,"Control A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to commit suicide at the age of 23. Anton Corbijn Sam Riley Samantha Morton Craig Parkinson Alexandra Maria Lara R 2007"
770,Tangled,"Tangled The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is. Nathan Greno Byron Howard Mandy Moore Zachary Levi Donna Murphy U 2010"
771,Zwartboek,"Zwartboek In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance. Paul Verhoeven Carice van Houten Sebastian Koch Thom Hoffman Halina Reijn R 2006"
772,Brokeback Mountain,"Brokeback Mountain The story of a forbidden and secretive relationship between two cowboys, and their lives over the years. Ang Lee Jake Gyllenhaal Heath Ledger Michelle Williams Randy Quaid A 2005"
773,3:10 to Yuma,3:10 to Yuma A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher. James Mangold Russell Crowe Christian Bale Ben Foster Logan Lerman A 2007
774,Crash,"Crash Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption. Paul Haggis Don Cheadle Sandra Bullock Thandie Newton Karina Arroyave UA 2004"
775,Kung fu,"Kung fu In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf. Stephen Chow Stephen Chow Wah Yuen Qiu Yuen Siu-Lung Leung UA 2004"
776,The Bourne Supremacy,"The Bourne Supremacy When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive. Paul Greengrass Matt Damon Franka Potente Joan Allen Brian Cox A 2004"
777,The Machinist,The Machinist An industrial worker who hasn't slept in a year begins to doubt his own sanity. Brad Anderson Christian Bale Jennifer Jason Leigh Aitana Sánchez-Gijón John Sharian R 2004
778,Ray,"Ray The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s. Taylor Hackford Jamie Foxx Regina King Kerry Washington Clifton Powell A 2004"
779,Lost in Translation,Lost in Translation A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo. Sofia Coppola Bill Murray Scarlett Johansson Giovanni Ribisi Anna Faris UA 2003
780,Harry Potter and the Goblet of Fire,"Harry Potter and the Goblet of Fire Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares. Mike Newell Daniel Radcliffe Emma Watson Rupert Grint Eric Sykes UA 2005"
781,Man on Fire,"Man on Fire In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect. Tony Scott Denzel Washington Christopher Walken Dakota Fanning Radha Mitchell UA 2004"
782,Coraline,"Coraline An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets. Henry Selick Dakota Fanning Teri Hatcher John Hodgman Jennifer Saunders U 2009"
783,The Last Samurai,The Last Samurai An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle. Edward Zwick Tom Cruise Ken Watanabe Billy Connolly William Atherton UA 2003
784,The Magdalene Sisters,The Magdalene Sisters Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum. Peter Mullan Eileen Walsh Dorothy Duffy Nora-Jane Noone Anne-Marie Duff R 2002
785,Good Bye Lenin!,"Good Bye Lenin! In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared. Wolfgang Becker Daniel Brühl Katrin Saß Chulpan Khamatova Florian Lukas R 2003"
786,In America,In America A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child. Jim Sheridan Paddy Considine Samantha Morton Djimon Hounsou Sarah Bolger PG-13 2002
787,I Am Sam,I Am Sam A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family. Jessie Nelson Sean Penn Michelle Pfeiffer Dakota Fanning Dianne Wiest PG-13 2001
788,Adaptation.,Adaptation. A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen. Spike Jonze Nicolas Cage Meryl Streep Chris Cooper Tilda Swinton R 2002
789,Black Hawk Down,Black Hawk Down 160 elite U.S. soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavily-armed Somalis. Ridley Scott Josh Hartnett Ewan McGregor Tom Sizemore Eric Bana A 2001
790,Road to Perdition,"Road to Perdition A mob enforcer's son witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge. Sam Mendes Tom Hanks Tyler Hoechlin Rob Maxey Liam Aiken A 2002"
791,Das Experiment,"Das Experiment For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence. Oliver Hirschbiegel Moritz Bleibtreu Christian Berkel Oliver Stokowski Wotan Wilke Möhring R 2001"
792,Billy Elliot,Billy Elliot A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family. Stephen Daldry Jamie Bell Julie Walters Jean Heywood Jamie Draven R 2000
793,Hedwig and the Angry Inch,Hedwig and the Angry Inch A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs. John Cameron Mitchell John Cameron Mitchell Miriam Shor Stephen Trask Theodore Liscinski R 2001
794,Ocean's Eleven,Ocean's Eleven Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously. Steven Soderbergh George Clooney Brad Pitt Julia Roberts Matt Damon UA 2001
795,Vampire Hunter D: Bloodlust,"Vampire Hunter D: Bloodlust When a girl is abducted by a vampire, a legendary bounty hunter is hired to bring her back. Yoshiaki Kawajiri Andrew Philpot John Rafter Lee Pamela Adlon Wendee Lee U 2000"
796,"O Brother, Where Art Thou?","O Brother, Where Art Thou? In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. Joel Coen Ethan Coen George Clooney John Turturro Tim Blake Nelson U 2000"
797,Interstate 60: Episodes of the Road,"Interstate 60: Episodes of the Road Neal Oliver, a very confused young man and an artist, takes a journey of a lifetime on a highway I60 that doesn't exist on any of the maps, going to the places he never even heard of, searching for an answer and his dreamgirl. Bob Gale James Marsden Gary Oldman Kurt Russell Matthew Edison R 2002"
798,"South Park: Bigger, Longer & Uncut","South Park: Bigger, Longer & Uncut When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame. Trey Parker Trey Parker Matt Stone Mary Kay Bergman Isaac Hayes A 1999"
799,Office Space,Office Space Three company workers who hate their jobs decide to rebel against their greedy boss. Mike Judge Ron Livingston Jennifer Aniston David Herman Ajay Naidu R 1999
800,Happiness,"Happiness The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection. Todd Solondz Jane Adams Jon Lovitz Philip Seymour Hoffman Dylan Baker nan 1998"
801,Training Day,Training Day A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be. Antoine Fuqua Denzel Washington Ethan Hawke Scott Glenn Tom Berenger A 2001
802,Rushmore,Rushmore The extracurricular king of Rushmore Preparatory School is put on academic probation. Wes Anderson Jason Schwartzman Bill Murray Olivia Williams Seymour Cassel UA 1998
803,Abre los ojos,"Abre los ojos A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured. Alejandro Amenábar Eduardo Noriega Penélope Cruz Chete Lera Fele Martínez U 1997"
804,Being John Malkovich,Being John Malkovich A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich. Spike Jonze John Cusack Cameron Diaz Catherine Keener John Malkovich R 1999
805,As Good as It Gets,"As Good as It Gets A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery. James L. Brooks Jack Nicholson Helen Hunt Greg Kinnear Cuba Gooding Jr. A 1997"
806,The Fifth Element,"The Fifth Element In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay. Luc Besson Bruce Willis Milla Jovovich Gary Oldman Ian Holm UA 1997"
807,Le dîner de cons,"Le dîner de cons A few friends have a weekly fools' dinner, where each brings a fool along. Pierre finds a champion fool for next dinner. Surprise. Francis Veber Thierry Lhermitte Jacques Villeret Francis Huster Daniel Prévost PG-13 1998"
808,Donnie Brasco,"Donnie Brasco An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one. Mike Newell Al Pacino Johnny Depp Michael Madsen Bruno Kirby A 1997"
809,Shine,"Shine Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim. Scott Hicks Geoffrey Rush Armin Mueller-Stahl Justin Braine Sonia Todd U 1996"
810,Primal Fear,"Primal Fear An altar boy is accused of murdering a priest, and the truth is buried several layers deep. Gregory Hoblit Richard Gere Laura Linney Edward Norton John Mahoney A 1996"
811,Hamlet,"Hamlet Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing. Kenneth Branagh Kenneth Branagh Julie Christie Derek Jacobi Kate Winslet PG-13 1996"
812,A Little Princess,A Little Princess A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead. Alfonso Cuarón Liesel Matthews Eleanor Bron Liam Cunningham Rusty Schwimmer U 1995
813,Do lok tin si,"Do lok tin si This Hong Kong-set crime drama follows the lives of a hitman, hoping to get out of the business, and his elusive female partner. Kar-Wai Wong Leon Lai Michelle Reis Takeshi Kaneshiro Charlie Yeung UA 1995"
814,Il postino,"Il postino A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice. Michael Radford Massimo Troisi Massimo Troisi Philippe Noiret Maria Grazia Cucinotta U 1994"
815,Clerks,"Clerks A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof. Kevin Smith Brian O'Halloran Jeff Anderson Marilyn Ghigliotti Lisa Spoonauer R 1994"
816,Short Cuts,Short Cuts The day-to-day lives of several suburban Los Angeles residents. Robert Altman Andie MacDowell Julianne Moore Tim Robbins Bruce Davison R 1993
817,Philadelphia,"Philadelphia When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit. Jonathan Demme Tom Hanks Denzel Washington Roberta Maxwell Buzz Kilman UA 1993"
818,The Muppet Christmas Carol,The Muppet Christmas Carol The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve. Brian Henson Michael Caine Kermit the Frog Dave Goelz Miss Piggy G 1992
819,Malcolm X,"Malcolm X Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam. Spike Lee Denzel Washington Angela Bassett Delroy Lindo Spike Lee U 1992"
820,The Last of the Mohicans,The Last of the Mohicans Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War. Michael Mann Daniel Day-Lewis Madeleine Stowe Russell Means Eric Schweig UA 1992
821,Kurenai no buta,"Kurenai no buta In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig. Hayao Miyazaki Shûichirô Moriyama Tokiko Katô Bunshi Katsura Vi Tsunehiko Kamijô U 1992"
822,Glengarry Glen Ross,Glengarry Glen Ross An examination of the machinations behind the scenes at a real estate office. James Foley Al Pacino Jack Lemmon Alec Baldwin Alan Arkin R 1992
823,A Few Good Men,A Few Good Men Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders. Rob Reiner Tom Cruise Jack Nicholson Demi Moore Kevin Bacon U 1992
824,Fried Green Tomatoes,Fried Green Tomatoes A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know. Jon Avnet Kathy Bates Jessica Tandy Mary Stuart Masterson Mary-Louise Parker PG-13 1991
825,Barton Fink,Barton Fink A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood. Joel Coen Ethan Coen John Turturro John Goodman Judy Davis U 1991
826,Miller's Crossing,"Miller's Crossing Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties. Joel Coen Ethan Coen Gabriel Byrne Albert Finney John Turturro R 1990"
827,Who Framed Roger Rabbit,Who Framed Roger Rabbit A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder. Robert Zemeckis Bob Hoskins Christopher Lloyd Joanna Cassidy Charles Fleischer U 1988
828,Spoorloos,"Spoorloos Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor. George Sluizer Bernard-Pierre Donnadieu Gene Bervoets Johanna ter Steege Gwen Eckhaus nan 1988"
829,Withnail & I,"Withnail & I In 1969, two substance-abusing, unemployed actors retreat to the countryside for a holiday that proves disastrous. Bruce Robinson Richard E. Grant Paul McGann Richard Griffiths Ralph Brown R 1987"
830,The Last Emperor,The Last Emperor The story of the final Emperor of China. Bernardo Bertolucci John Lone Joan Chen Peter O'Toole Ruocheng Ying U 1987
831,Empire of the Sun,Empire of the Sun A young English boy struggles to survive under Japanese occupation during World War II. Steven Spielberg Christian Bale John Malkovich Miranda Richardson Nigel Havers U 1987
832,Der Name der Rose,Der Name der Rose An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey. Jean-Jacques Annaud Sean Connery Christian Slater Helmut Qualtinger Elya Baskin R 1986
833,Blue Velvet,"Blue Velvet The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child. David Lynch Isabella Rossellini Kyle MacLachlan Dennis Hopper Laura Dern A 1986"
834,The Purple Rose of Cairo,"The Purple Rose of Cairo In New Jersey in 1935, a movie character walks off the screen and into the real world. Woody Allen Mia Farrow Jeff Daniels Danny Aiello Irving Metzman U 1985"
835,After Hours,After Hours An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho who he met that evening at a coffee shop. Martin Scorsese Griffin Dunne Rosanna Arquette Verna Bloom Tommy Chong UA 1985
836,Zelig,"Zelig ""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people. Woody Allen Woody Allen Mia Farrow Patrick Horgan John Buckwalter PG 1983"
837,The Verdict,The Verdict A lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling. Sidney Lumet Paul Newman Charlotte Rampling Jack Warden James Mason U 1982
838,Star Trek II: The Wrath of Khan,"Star Trek II: The Wrath of Khan With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon. Nicholas Meyer William Shatner Leonard Nimoy DeForest Kelley James Doohan U 1982"
839,First Blood,First Blood A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers. Ted Kotcheff Sylvester Stallone Brian Dennehy Richard Crenna Bill McKinney A 1982
840,Ordinary People,"Ordinary People The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son. Robert Redford Donald Sutherland Mary Tyler Moore Judd Hirsch Timothy Hutton U 1980"
841,Airplane!,Airplane! A man afraid to fly must ensure that a plane lands safely after the pilots become sick. Jim Abrahams David Zucker Jerry Zucker Robert Hays Julie Hagerty U 1980
842,Rupan sansei: Kariosutoro no shiro,"Rupan sansei: Kariosutoro no shiro A dashing thief, his gang of desperadoes and an intrepid policeman struggle to free a princess from an evil count's clutches, and learn the hidden secret to a fabulous treasure that she holds part of a key to. Hayao Miyazaki Yasuo Yamada Eiko Masuyama Kiyoshi Kobayashi Makio Inoue U 1979"
843,Halloween,"Halloween Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again. John Carpenter Donald Pleasence Jamie Lee Curtis Tony Moran Nancy Kyes A 1978"
844,Le locataire,Le locataire A bureaucrat rents a Paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia. Roman Polanski Roman Polanski Isabelle Adjani Melvyn Douglas Jo Van Fleet R 1976
845,Love and Death,"Love and Death In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon. Woody Allen Woody Allen Diane Keaton Georges Adet Frank Adu PG 1975"
846,The Taking of Pelham One Two Three,"The Taking of Pelham One Two Three In New York, armed men hijack a subway car and demand a ransom for the passengers. Even if it's paid, how could they get away? Joseph Sargent Walter Matthau Robert Shaw Martin Balsam Hector Elizondo U 1974"
847,Blazing Saddles,"Blazing Saddles In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary. Mel Brooks Cleavon Little Gene Wilder Slim Pickens Harvey Korman A 1974"
848,Serpico,Serpico An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him. Sidney Lumet Al Pacino John Randolph Jack Kehoe Biff McGuire A 1973
849,Enter the Dragon,Enter the Dragon A secret agent comes to an opium lord's island fortress with other fighters for a martial-arts tournament. Robert Clouse Bruce Lee John Saxon Jim Kelly Ahna Capri A 1973
850,Deliverance,"Deliverance Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country. John Boorman Jon Voight Burt Reynolds Ned Beatty Ronny Cox U 1972"
851,The French Connection,The French Connection A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection. William Friedkin Gene Hackman Roy Scheider Fernando Rey Tony Lo Bianco A 1971
852,Dirty Harry,"Dirty Harry When a madman calling himself ""the Scorpio Killer"" menaces the city, tough-as-nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath. Don Siegel Clint Eastwood Andrew Robinson Harry Guardino Reni Santoni A 1971"
853,Where Eagles Dare,"Where Eagles Dare Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on. Brian G. Hutton Richard Burton Clint Eastwood Mary Ure Patrick Wymark U 1968"
854,The Odd Couple,"The Odd Couple Two friends try sharing an apartment, but their ideas of housekeeping and lifestyles are as different as night and day. Gene Saks Jack Lemmon Walter Matthau John Fiedler Herb Edelman G 1968"
855,The Dirty Dozen,"The Dirty Dozen During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers. Robert Aldrich Lee Marvin Ernest Borgnine Charles Bronson John Cassavetes nan 1967"
856,Belle de jour,Belle de jour A frigid young housewife decides to spend her midweek afternoons as a prostitute. Luis Buñuel Catherine Deneuve Jean Sorel Michel Piccoli Geneviève Page A 1967
857,A Man for All Seasons,"A Man for All Seasons The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry. Fred Zinnemann Paul Scofield Wendy Hiller Robert Shaw Leo McKern U 1966"
858,Repulsion,Repulsion A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence. Roman Polanski Catherine Deneuve Ian Hendry John Fraser Yvonne Furneaux nan 1965
859,Zulu,Zulu Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift. Cy Endfield Stanley Baker Jack Hawkins Ulla Jacobsson James Booth U 1964
860,Goldfinger,"Goldfinger While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve. Guy Hamilton Sean Connery Gert Fröbe Honor Blackman Shirley Eaton A 1964"
861,The Birds,The Birds A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people. Alfred Hitchcock Rod Taylor Tippi Hedren Jessica Tandy Suzanne Pleshette A 1963
862,Cape Fear,Cape Fear A lawyer's family is stalked by a man he once helped put in jail. J. Lee Thompson Gregory Peck Robert Mitchum Polly Bergen Lori Martin Passed 1962
863,Peeping Tom,"Peeping Tom A young man murders women, using a movie camera to film their dying expressions of terror. Michael Powell Karlheinz Böhm Anna Massey Moira Shearer Maxine Audley nan 1960"
864,The Magnificent Seven,The Magnificent Seven Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits. John Sturges Yul Brynner Steve McQueen Charles Bronson Eli Wallach Approved 1960
865,Les yeux sans visage,"Les yeux sans visage A surgeon causes an accident which leaves his daughter disfigured, and goes to extremes to give her a new face. Georges Franju Pierre Brasseur Alida Valli Juliette Mayniel Alexandre Rignault nan 1960"
866,Invasion of the Body Snatchers,Invasion of the Body Snatchers A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates. Don Siegel Kevin McCarthy Dana Wynter Larry Gates King Donovan Approved 1956
867,Rebel Without a Cause,"Rebel Without a Cause A rebellious young man with a troubled past comes to a new town, finding friends and enemies. Nicholas Ray James Dean Natalie Wood Sal Mineo Jim Backus PG-13 1955"
868,The Ladykillers,The Ladykillers Five oddball criminals planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians. Alexander Mackendrick Alec Guinness Peter Sellers Cecil Parker Herbert Lom nan 1955
869,Sabrina,"Sabrina A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her. Billy Wilder Humphrey Bogart Audrey Hepburn William Holden Walter Hampden Passed 1954"
870,The Quiet Man,"The Quiet Man A retired American boxer returns to the village of his birth in Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union. John Ford John Wayne Maureen O'Hara Barry Fitzgerald Ward Bond Passed 1952"
871,The Day the Earth Stood Still,The Day the Earth Stood Still An alien lands and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets. Robert Wise Michael Rennie Patricia Neal Hugh Marlowe Sam Jaffe U 1951
872,The African Queen,"The African Queen In WWI Africa, a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship. John Huston Humphrey Bogart Katharine Hepburn Robert Morley Peter Bull PG 1951"
873,Gilda,Gilda A small-time gambler hired to work in a Buenos Aires casino discovers his employer's new wife is his former lover. Charles Vidor Rita Hayworth Glenn Ford George Macready Joseph Calleia Approved 1946
874,Fantasia,Fantasia A collection of animated interpretations of great works of Western classical music. James Algar Samuel Armstrong Ford Beebe Jr. Norman Ferguson David Hand G 1940
875,The Invisible Man,"The Invisible Man A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane. James Whale Claude Rains Gloria Stuart William Harrigan Henry Travers TV-PG 1933"
876,Dark Waters,Dark Waters A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution. Todd Haynes Mark Ruffalo Anne Hathaway Tim Robbins Bill Pullman PG-13 2019
877,Searching,"Searching After his teenage daughter goes missing, a desperate father tries to find clues on her laptop. Aneesh Chaganty John Cho Debra Messing Joseph Lee Michelle La U/A 2018"
878,Once Upon a Time... in Hollywood,Once Upon a Time... in Hollywood A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles. Quentin Tarantino Leonardo DiCaprio Brad Pitt Margot Robbie Emile Hirsch A 2019
879,Nelyubov,Nelyubov A couple going through a divorce must team up to find their son who has disappeared during one of their bitter arguments. Andrey Zvyagintsev Maryana Spivak Aleksey Rozin Matvey Novikov Marina Vasileva R 2017
880,The Florida Project,"The Florida Project Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World. Sean Baker Brooklynn Prince Bria Vinaite Willem Dafoe Christopher Rivera A 2017"
881,Just Mercy,Just Mercy World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner. Destin Daniel Cretton Michael B. Jordan Jamie Foxx Brie Larson Charlie Pye Jr. A 2019
882,Gifted,"Gifted Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother. Marc Webb Chris Evans Mckenna Grace Lindsay Duncan Octavia Spencer PG-13 2017"
883,The Peanut Butter Falcon,The Peanut Butter Falcon Zak runs away from his care home to make his dream of becoming a wrestler come true. Tyler Nilson Michael Schwartz Zack Gottsagen Ann Owens Dakota Johnson PG-13 2019
884,Victoria,Victoria A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret. Sebastian Schipper Laia Costa Frederick Lau Franz Rogowski Burak Yigit nan 2015
885,Mustang,"Mustang When five orphan girls are seen innocently playing with boys on a beach, their scandalized conservative guardians confine them while forced marriages are arranged. Deniz Gamze Ergüven Günes Sensoy Doga Zeynep Doguslu Tugba Sunguroglu Elit Iscan PG-13 2015"
886,Guardians of the Galaxy Vol. 2,"Guardians of the Galaxy Vol. 2 The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego. James Gunn Chris Pratt Zoe Saldana Dave Bautista Vin Diesel UA 2017"
887,Baby Driver,"Baby Driver After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail. Edgar Wright Ansel Elgort Jon Bernthal Jon Hamm Eiza González UA 2017"
888,Only the Brave,"Only the Brave Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire. Joseph Kosinski Josh Brolin Miles Teller Jeff Bridges Jennifer Connelly UA 2017"
889,Bridge of Spies,"Bridge of Spies During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers. Steven Spielberg Tom Hanks Mark Rylance Alan Alda Amy Ryan UA 2015"
890,Incredibles 2,Incredibles 2 The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world. Brad Bird Craig T. Nelson Holly Hunter Sarah Vowell Huck Milner UA 2018
